1	136	0
2	136	32640
3	160	32994
4	136	32993
5	136	32983
6	136	33791
7	160	32291
8	136	32953
9	136	32982
10	136	33003
11	528	32995
12	136	32997
13	136	33005
14	136	33013
15	160	33022
16	136	32976
17	136	33044
18	136	33119
19	160	32827
20	136	33020
21	136	32974
22	136	33030
23	160	32968
24	136	33005
25	136	33075
26	136	33014
27	51024	33100
28	448	32847
29	1480	33040
30	7888	32959
31	61285	33042
32	65507	338
33	34656	32661
34	34656	33015
35	192	32889
36	10578	33078
37	65507	109
38	65507	53
39	41704	32799
40	44288	33096
41	224	32898
42	2202	32982
43	65507	106
44	65507	76
45	35208	32850
46	35720	33032
47	192	32932
48	21327	33069
49	65507	117
50	65507	222
51	46544	32655
52	51360	33006
53	47600	32991
54	54741	32987
55	65507	95
56	41048	32906
57	41048	33000
58	50008	33000
59	7162	32972
60	65507	106
61	65507	122
62	208	32757
63	57008	33013
64	4685	33016
65	65507	133
66	12850	32836
67	65507	78
68	65507	132
69	65360	32842
70	5445	32912
71	65507	142
72	192	32842
73	13636	33247
74	65507	113
75	65507	54
76	59336	32745
77	4245	32931
78	65507	84
79	64472	32939
80	45349	32964
81	65507	86
82	2709	32952
83	65507	84
84	2709	33029
85	65507	90
86	59528	32782
87	61477	33068
88	65507	90
89	50480	32866
90	60456	33042
91	672	32866
92	56405	33022
93	65507	94
94	52792	32969
95	54512	33008
96	54512	32990
97	18436	32974
98	65507	110
99	65507	116
100	53240	32855
101	59760	32943
102	58024	32963
103	36533	32957
104	65507	124
105	536	32875
106	59072	33051
107	55144	32976
108	53469	33009
109	65507	70
110	56952	32918
111	57944	33025
112	57944	32968
113	37429	32981
114	65507	95
115	57080	32956
116	57080	32930
117	55440	33075
118	20180	33013
119	65507	116
120	65507	55
121	49944	32788
122	42680	32994
123	744	32979
124	31349	33031
125	65507	78
126	44416	32899
127	48296	33080
128	44416	33059
129	38725	32903
130	65507	86
131	43280	32910
132	43280	33004
133	49872	32947
134	19829	32993
135	65507	78
136	664	32908
137	46640	33062
138	46288	33015
139	17076	32958
140	65507	103
141	65507	137
142	50200	32750
143	50048	33033
144	50048	32998
145	45989	33009
146	65507	67
147	47976	32909
148	51296	33013
149	52136	33005
150	23213	32965
151	65507	68
152	720	32897
153	39864	33028
154	672	32981
155	23101	33048
156	65507	67
157	46984	32951
158	47456	32990
159	51080	33012
160	14972	32905
161	65507	154
162	65507	43
163	65507	81
164	59784	32771
165	59784	32981
166	51384	33055
167	41989	32983
168	65507	63
169	43320	32940
170	61688	32991
171	520	32937
172	25093	33044
173	65507	115
174	51776	32890
175	53024	33009
176	53024	32996
177	31165	32979
178	65507	88
179	48976	32942
180	55616	32987
181	48496	32958
182	13484	33008
183	65507	90
184	65507	121
185	65507	89
186	712	32681
187	54576	33117
188	49136	32931
189	33525	33025
190	65507	121
191	47808	32881
192	52136	33014
193	52136	33002
194	29229	32940
195	65507	60
196	49976	32919
197	49976	33084
198	42880	32983
199	28693	33022
200	65507	68
201	49304	32950
202	42064	32953
203	568	33071
204	16156	33103
205	65507	77
206	65507	24
207	41152	32724
208	43568	33105
209	49784	32929
210	28485	33001
211	65507	67
212	37824	32919
213	44920	33006
214	44920	32953
215	21229	32982
216	65507	89
217	696	32923
218	38952	33037
219	39096	32997
220	17357	32983
221	65507	82
222	48400	32947
223	46680	33004
224	46680	32978
225	10348	32964
226	65507	99
227	65507	81
228	48984	32806
229	51528	33032
230	38912	32970
231	34549	33011
232	65507	72
233	41328	32901
234	41328	33112
235	640	32857
236	23693	33054
237	65507	82
238	42848	32957
239	45840	32981
240	50336	33005
241	22789	32987
242	65507	75
243	48448	32900
244	48448	33092
245	52008	33072
246	11676	32949
247	65507	210
248	65507	126
249	51696	32648
250	52584	32943
251	48360	32951
252	23885	33073
253	65507	67
254	464	33372
255	45904	32916
256	45904	34770
257	40037	31372
258	65507	49
259	49032	32479
260	54992	33028
261	55432	32990
262	27077	32983
263	65507	110
264	600	32855
265	57336	33097
266	52816	32947
267	17132	33022
268	65507	68
269	65507	136
270	50608	32774
271	49864	33042
272	416	32953
273	35493	32979
274	65507	115
275	48192	32934
276	48192	32970
277	43648	32991
278	29429	33073
279	65507	50
280	45544	32903
281	53448	33005
282	408	32911
283	35661	33047
284	65507	51
285	52728	32999
286	1613	32893
287	65507	164
288	1685	32895
289	65507	58
290	13196	32961
291	65507	63
292	65507	31
293	49944	32868
294	53488	33088
295	53488	32948
296	45157	32960
297	65507	63
298	536	32920
299	47200	33057
300	54032	33001
301	48405	33029
302	65507	79
303	51800	32921
304	46048	32942
305	46048	32973
306	4010	32981
307	65507	65
308	65507	69
309	45208	32886
310	51440	33008
311	48544	32986
312	29271	32983
313	65507	66
314	65507	38
315	39600	32961
316	39600	32985
317	464	32940
318	14346	33118
319	65507	61
320	65507	97
321	50360	32919
322	60272	33014
323	50784	32948
324	298	32890
325	65507	80
326	65507	60
327	36048	32873
328	36048	33021
329	45376	32941
330	57437	33049
331	65507	65
332	40344	32883
333	36304	33037
334	48144	32997
335	33781	33189
336	65507	53
337	208	32746
338	18792	32979
339	18792	33024
340	29208	33034
341	21552	32966
342	22944	33011
343	13480	32991
344	12040	32980
345	1032	32950
346	1504	33035
347	1464	33010
348	3216	32971
349	1112	32976
350	136	33025
351	136	33047
352	656	32980
353	160	33016
354	160	33027
355	160	33558
356	160	32365
357	136	33056
358	136	32999
359	136	32935
360	160	33035
361	136	33002
362	136	32973
363	136	32981
364	192	33013
365	136	33005
366	136	33054
367	136	33043
368	528	32922
369	136	32963
370	136	33059
371	136	33065
372	160	33203
373	136	32748
374	136	32946
375	136	33016
376	160	32983
377	136	33011
378	136	33003
379	136	32973
380	160	33057
381	136	32982
382	136	32992
383	136	32990
384	528	33016
385	136	33049
